"SRX"	"SRR"
"SRX007165"	"SRR020291,SRR020290,SRR020288,SRR020287,SRR020289"
"SRX007167"	"SRR020292,SRR020294,SRR020295,SRR020293"
"SRX014392"	"SRR031632,SRR031628,SRR031631,SRR031634,SRR031630,SRR031633,SRR031629"
"SRX056678"	"SRR304995"
"SRX056680"	"SRR179591"
"SRX056681"	"SRR179592"
"SRX056682"	"SRR179593"
"SRX056683"	"SRR179594"
"SRX056684"	"SRR179588"
"SRX056685"	"SRR179589"
"SRX056686"	"SRR179590"
"SRX135562"	"SRR453407,SRR453402,SRR453395,SRR453401,SRR453400,SRR453393,SRR453404,SRR453399,SRR453398,SRR453391,SRR453396,SRR453403,SRR453397,SRR453394,SRR453406,SRR453405,SRR453392"
"SRX142107"	"SRR486237"
"SRX142108"	"SRR486238"
"SRX142109"	"SRR486239"
"SRX142110"	"SRR486240"
"SRX142111"	"SRR488136"
"SRX142112"	"SRR488137"
"SRX142113"	"SRR486241"
"SRX142114"	"SRR486242"
"SRX142115"	"SRR488684"
"SRX142116"	"SRR488685"
"SRX190110"	"SRR578629,SRR651694,SRR651693,SRR578628,SRR578630,SRR651692,SRR578627"
"SRX190112"	"SRR651665,SRR578631,SRR578634,SRR578632,SRR578633,SRR651666,SRR651668,SRR651667"
"SRX190114"	"SRR578638,SRR651669,SRR651672,SRR578636,SRR651670,SRR578637,SRR578635,SRR651671"
"SRX190116"	"SRR651676,SRR651674,SRR651675,SRR651678,SRR651677,SRR651673"
"SRX190118"	"SRR577581,SRR577582,SRR577580,SRR577579"
"SRX190120"	"SRR578640,SRR578641,SRR578642,SRR578639"
"SRX190122"	"SRR578646,SRR578645,SRR578644,SRR651680,SRR651679,SRR651681,SRR651682,SRR578643"
"SRX190124"	"SRR596099,SRR651684,SRR596098,SRR596101,SRR651683,SRR651685,SRR651686,SRR596100"
"SRX190128"	"SRR651688,SRR596103,SRR651689,SRR596104,SRR596105,SRR596102,SRR651687"
"SRX190130"	"SRR578647,SRR578650,SRR578648,SRR578649,SRR651691"
"SRX190132"	"SRR577584,SRR577585,SRR577586,SRR577583"
"SRX190136"	"SRR577587,SRR577588,SRR577589,SRR577590"
"SRX190138"	"SRR596107,SRR596106,SRR596108,SRR651698,SRR596109,SRR651697,SRR651695,SRR651696"
"SRX190140"	"SRR651703,SRR651699,SRR651702,SRR651704,SRR651701,SRR651700"
"SRX190142"	"SRR651706,SRR651705,SRR578652,SRR651708,SRR651707,SRR578654,SRR578651,SRR578653"
"SRX190144"	"SRR577591,SRR577594,SRR577593,SRR577592"
"SRX190146"	"SRR577596,SRR577597,SRR577598,SRR577595"
"SRX190148"	"SRR577599,SRR577601,SRR577602,SRR577600"
"SRX213996"	"SRR643741"
"SRX213997"	"SRR643742"
"SRX213998"	"SRR643766"
"SRX213999"	"SRR643770"
"SRX214000"	"SRR643771"
"SRX214001"	"SRR643772,SRR643773"
"SRX214002"	"SRR643774"
"SRX214003"	"SRR643775"
"SRX214004"	"SRR643776,SRR643777"
"SRX214005"	"SRR643778"
"SRX214006"	"SRR643779"
"SRX214007"	"SRR643780"
"SRX214008"	"SRR643782,SRR643781"
"SRX214009"	"SRR643783"
"SRX214010"	"SRR643784"
"SRX214011"	"SRR643785"
"SRX214012"	"SRR643786"
"SRX214013"	"SRR643787"
"SRX214014"	"SRR643788"
"SRX214015"	"SRR643789"
"SRX214016"	"SRR643743"
"SRX214017"	"SRR643744,SRR643745"
"SRX214018"	"SRR643746"
"SRX214019"	"SRR643747"
"SRX214020"	"SRR643748"
"SRX214021"	"SRR643749"
"SRX214022"	"SRR643750"
"SRX214023"	"SRR643751"
"SRX214024"	"SRR643752"
"SRX214025"	"SRR643753"
"SRX214026"	"SRR643754"
"SRX214027"	"SRR643755"
"SRX214028"	"SRR643756"
"SRX214029"	"SRR643757"
"SRX214030"	"SRR643758"
"SRX214031"	"SRR643759"
"SRX214032"	"SRR643760"
"SRX214033"	"SRR643761"
"SRX214034"	"SRR643762"
"SRX214035"	"SRR643763"
"SRX214036"	"SRR643764"
"SRX214037"	"SRR643765"
"SRX214038"	"SRR643767"
"SRX214039"	"SRR643769,SRR643768"
"SRX214322"	"SRR644512"
"SRX214323"	"SRR644513"
"SRX214324"	"SRR644514"
"SRX214325"	"SRR644515"
"SRX214326"	"SRR644516"
"SRX218940"	"SRR651662"
"SRX218942"	"SRR651664,SRR651663"
"SRX252239"	"SRR786785"
"SRX252240"	"SRR786786"
